ObjectID,Plat-Lot#,StreetAddress,city,state,Zip,ZipCode,geo_score,geo_address,geo_lat,geo_lon,List_type,Class Desc,Housing Units,Tax_Value$,Tax_Value,Tax_Bill$,Tax_Bill
066-0283-0000,066-0283-0000,48 FELIX ST,Providence,RI,2908,02908,100,"48 FELIX ST, PROVIDENCE, 02908",41.83336185,-71.42823822,Waste Collection ID,2 -5 Family,2,"$88,500.00 ",88500.00,"$2,986.88 ",2986.88
066-0327-0000,066-0327-0000,74 AYRAULT ST,Providence,RI,2908,02908,100,"74 AYRAULT ST, PROVIDENCE, 02908",41.83356826,-71.42913706,Waste Collection ID,2 -5 Family,3,"$130,300.00 ",130300.00,"$4,397.64 ",4397.64
066-0329-0000,066-0329-0000,76 Ayrault St,Providence,RI,2908,02908,100,"76 AYRAULT ST, PROVIDENCE, 02908",41.8335538,-71.42921952,City-owned Tax Sale,Residential Vacant Land,0,$200.00 ,200.00,$6.76 ,6.76
067-0040-0000,067-0040-0000,369 Orms St,Providence,RI,2908,02908,100,"369 ORMS ST, PROVIDENCE, 02908",41.83349078,-71.42473645,Waste Collection ID,Single Family,1,"$100,500.00 ",100500.00,"$3,391.88 ",3391.88
067-0116-000A,0670116000A,"160 Jewett St, Unit 000A",Providence,RI,2908,02908,100,"160 JEWETT ST, PROVIDENCE, 02908",41.83281389,-71.42263771,Unconfirmed Vacated,Residential Condo,1,"$107,500.00 ",107500.00,"$3,628.16 ",3628.16
067-0116-000B,0670116000B,"160 Jewett St, Unit 000B",Providence,RI,2908,02908,100,"160 JEWETT ST, PROVIDENCE, 02908",41.83281389,-71.42263771,Unconfirmed Vacated,Residential Condo,1,"$107,500.00 ",107500.00,"$1,417.40 ",1417.40
067-0145-0000,067-0145-0000,44 Calais St,Providence,RI,2908,02908,100,"44 CALAIS ST, PROVIDENCE, 02908",41.83199345,-71.42055806,Waste Collection ID,2 -5 Family,2,"$107,700.00 ",107700.00,"$3,634.88 ",3634.88
067-0234-0000,067-0234-0000,11 ZONE ST,Providence,RI,2908,02908,79,"12 ZONE ST, PROVIDENCE, 02908",41.83309568,-71.42713735,City-owned Tax Sale,Residential Vacant Land,0,"$16,700.00 ",16700.00,$563.64 ,563.64
067-0315-0000,067-0315-0000,250 JEWETT ST,Providence,RI,2908,02908,100,"250 JEWETT ST, PROVIDENCE, 02908",41.83230742,-71.42663504,City-owned Tax Sale,CI Vacant Land,0,"$22,900.00 ",22900.00,$841.60 ,841.60
067-0316-0000,067-0316-0000,244 JEWETT ST,Providence,RI,2908,02908,100,"244 JEWETT ST, PROVIDENCE, 02908",41.83235582,-71.42631485,City-owned Tax Sale,CI Vacant Land,0,"$21,700.00 ",21700.00,$797.48 ,797.48
